Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Country/Region,City,State/Province,Postal Code,Division,Region,Product ID,Product Name,Sales,Units,Gross Profit,Cost,Gross Margin (%),Profit per Unit,Ship Days
1,US-2021-103800-CHO-MIL-31000,2024-01-03,2026-06-30,Standard Class,103800,United States,Houston,Texas,77095,Chocolate,Interior,CHO-MIL-31000,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28,64.92307692307692,2.11,909
2,US-2021-112326-CHO-TRI-54000,2024-01-04,2026-07-01,Standard Class,112326,United States,Naperville,Illinois,60540,Chocolate,Interior,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,7.5,2,4.9,2.6,65.33333333333334,2.45,909
3,US-2021-112326-CHO-NUT-13000,2024-01-04,2026-07-01,Standard Class,112326,United States,Naperville,Illinois,60540,Chocolate,Interior,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,10.47,3,7.47,3.0,71.34670487106017,2.4899999999999998,909
4,US-2021-112326-CHO-SCR-58000,2024-01-04,2026-07-01,Standard Class,112326,United States,Naperville,Illinois,60540,Chocolate,Interior,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,10.8,3,7.5,3.3,69.44444444444444,2.5,909
5,US-2021-141817-CHO-TRI-54000,2024-01-05,2026-07-05,Standard Class,141817,United States,Philadelphia,Pennsylvania,19143,Chocolate,Atlantic,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9,65.33333333333333,2.4499999999999997,912
6,US-2021-167199-CHO-SCR-58000,2024-01-06,2026-07-03,Standard Class,167199,United States,Henderson,Kentucky,42420,Chocolate,Gulf,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,32.4,9,22.5,9.9,69.44444444444444,2.5,909
7,US-2021-167199-CHO-TRI-54000,2024-01-06,2026-07-03,Standard Class,167199,United States,Henderson,Kentucky,42420,Chocolate,Gulf,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,7.5,2,4.9,2.6,65.33333333333334,2.45,909
8,US-2021-106054-CHO-MIL-31000,2024-01-06,2026-06-30,First Class,106054,United States,Athens,Georgia,30605,Chocolate,Gulf,CHO-MIL-31000,Wonka Bar - Milk Chocolate,9.75,3,6.33,3.42,64.92307692307693,2.11,906
9,US-2021-167199-CHO-NUT-13000,2024-01-06,2026-07-03,Standard Class,167199,United States,Henderson,Kentucky,42420,Chocolate,Gulf,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,6.98,2,4.98,2.0,71.34670487106017,2.49,909
10,US-2021-167199-CHO-MIL-31000,2024-01-06,2026-07-03,Standard Class,167199,United States,Henderson,Kentucky,42420,Chocolate,Gulf,CHO-MIL-31000,Wonka Bar - Milk Chocolate,13.0,4,8.44,4.56,64.92307692307692,2.11,909
11,US-2021-167199-CHO-MIL-31000,2024-01-06,2026-07-03,Standard Class,167199,United States,Henderson,Kentucky,42420,Chocolate,Gulf,CHO-MIL-31000,Wonka Bar - Milk Chocolate,3.25,1,2.11,1.14,64.92307692307692,2.11,909
12,US-2021-130813-CHO-MIL-31000,2024-01-06,2026-07-01,Second Class,130813,United States,Los Angeles,California,90049,Chocolate,Pacific,CHO-MIL-31000,Wonka Bar - Milk Chocolate,9.75,3,6.33,3.42,64.92307692307693,2.11,907
13,US-2021-167199-CHO-SCR-58000,2024-01-06,2026-07-03,Standard Class,167199,United States,Henderson,Kentucky,42420,Chocolate,Gulf,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,14.4,4,10.0,4.4,69.44444444444444,2.5,909
14,US-2021-167199-CHO-FUD-51000,2024-01-06,2026-07-03,Standard Class,167199,United States,Henderson,Kentucky,42420,Chocolate,Gulf,CHO-FUD-51000,Wonka Bar - Fudge Mallows,7.2,2,4.8,2.4,66.66666666666666,2.4,909
15,US-2021-105417-CHO-MIL-31000,2024-01-07,2026-07-05,Standard Class,105417,United States,Huntsville,Texas,77340,Chocolate,Interior,CHO-MIL-31000,Wonka Bar - Milk Chocolate,9.75,3,6.33,3.42,64.92307692307693,2.11,910
16,US-2021-105417-CHO-TRI-54000,2024-01-07,2026-07-05,Standard Class,105417,United States,Huntsville,Texas,77340,Chocolate,Interior,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,26.25,7,17.15,9.1,65.33333333333333,2.4499999999999997,910
17,US-2021-135405-CHO-TRI-54000,2024-01-09,2026-07-06,Standard Class,135405,United States,Laredo,Texas,78041,Chocolate,Interior,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,7.5,2,4.9,2.6,65.33333333333334,2.45,909
18,US-2021-135405-CHO-TRI-54000,2024-01-09,2026-07-06,Standard Class,135405,United States,Laredo,Texas,78041,Chocolate,Interior,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9,65.33333333333333,2.4499999999999997,909
19,US-2021-149020-CHO-MIL-31000,2024-01-10,2026-07-08,Standard Class,149020,United States,Springfield,Virginia,22153,Chocolate,Gulf,CHO-MIL-31000,Wonka Bar - Milk Chocolate,3.25,1,2.11,1.14,64.92307692307692,2.11,910
20,US-2021-149020-OTH-GUM-21000,2024-01-10,2026-07-08,Standard Class,149020,United States,Springfield,Virginia,22153,Other,Gulf,OTH-GUM-21000,Wonka Gum,1.25,1,0.65,0.6,52.0,0.65,910
21,US-2021-130092-CHO-MIL-31000,2024-01-11,2026-07-07,First Class,130092,United States,Dover,Delaware,19901,Chocolate,Atlantic,CHO-MIL-31000,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28,64.92307692307692,2.11,908
22,US-2021-157147-CHO-MIL-31000,2024-01-13,2026-07-11,Standard Class,157147,United States,San Francisco,California,94109,Chocolate,Pacific,CHO-MIL-31000,Wonka Bar - Milk Chocolate,9.75,3,6.33,3.42,64.92307692307693,2.11,910
23,US-2021-109232-CHO-NUT-13000,2024-01-13,2026-07-09,Second Class,109232,United States,Mount Pleasant,South Carolina,29464,Chocolate,Gulf,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,20.94,6,14.94,6.0,71.34670487106017,2.4899999999999998,908
24,US-2021-157147-CHO-MIL-31000,2024-01-13,2026-07-11,Standard Class,157147,United States,San Francisco,California,94109,Chocolate,Pacific,CHO-MIL-31000,Wonka Bar - Milk Chocolate,16.25,5,10.55,5.7,64.92307692307693,2.1100000000000003,910
25,US-2021-118192-CHO-SCR-58000,2024-01-13,2026-07-11,Standard Class,118192,United States,Newark,Ohio,43055,Chocolate,Atlantic,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,7.2,2,5.0,2.2,69.44444444444444,2.5,910
26,US-2021-162775-CHO-TRI-54000,2024-01-13,2026-07-08,Second Class,162775,United States,Bossier City,Louisiana,71111,Chocolate,Gulf,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9,65.33333333333333,2.4499999999999997,907
27,US-2021-162775-OTH-KAZ-38000,2024-01-13,2026-07-08,Second Class,162775,United States,Bossier City,Louisiana,71111,Other,Gulf,OTH-KAZ-38000,Kazookles,9.75,3,0.75,9.0,7.6923076923076925,0.25,907
28,US-2021-162775-CHO-MIL-31000,2024-01-13,2026-07-08,Second Class,162775,United States,Bossier City,Louisiana,71111,Chocolate,Gulf,CHO-MIL-31000,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28,64.92307692307692,2.11,907
29,US-2021-118192-CHO-SCR-58000,2024-01-13,2026-07-11,Standard Class,118192,United States,Newark,Ohio,43055,Chocolate,Atlantic,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,25.2,7,17.5,7.7,69.44444444444444,2.5,910
30,US-2021-162775-CHO-MIL-31000,2024-01-13,2026-07-08,Second Class,162775,United States,Bossier City,Louisiana,71111,Chocolate,Gulf,CHO-MIL-31000,Wonka Bar - Milk Chocolate,19.5,6,12.66,6.84,64.92307692307693,2.11,907
31,US-2021-157147-CHO-NUT-13000,2024-01-13,2026-07-11,Standard Class,157147,United States,San Francisco,California,94109,Chocolate,Pacific,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,17.45,5,12.45,5.0,71.34670487106017,2.4899999999999998,910
32,US-2021-162775-CHO-SCR-58000,2024-01-13,2026-07-08,Second Class,162775,United States,Bossier City,Louisiana,71111,Chocolate,Gulf,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,21.6,6,15.0,6.6,69.44444444444444,2.5,907
33,US-2021-149524-OTH-GUM-21000,2024-01-14,2026-07-08,First Class,149524,United States,Philadelphia,Pennsylvania,19140,Other,Atlantic,OTH-GUM-21000,Wonka Gum,5.0,4,2.6,2.4,52.0,0.65,906
34,US-2021-103366-CHO-SCR-58000,2024-01-15,2026-07-10,First Class,103366,United States,Roswell,Georgia,30076,Chocolate,Gulf,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,18.0,5,12.5,5.5,69.44444444444444,2.5,907
35,US-2021-115791-CHO-TRI-54000,2024-01-16,2026-07-11,Second Class,115791,United States,Philadelphia,Pennsylvania,19134,Chocolate,Atlantic,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,22.5,6,14.7,7.8,65.33333333333333,2.4499999999999997,907
36,US-2021-115791-CHO-FUD-51000,2024-01-16,2026-07-11,Second Class,115791,United States,Philadelphia,Pennsylvania,19134,Chocolate,Atlantic,CHO-FUD-51000,Wonka Bar - Fudge Mallows,7.2,2,4.8,2.4,66.66666666666666,2.4,907
37,US-2021-115791-CHO-TRI-54000,2024-01-16,2026-07-11,Second Class,115791,United States,Philadelphia,Pennsylvania,19134,Chocolate,Atlantic,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9,65.33333333333333,2.4499999999999997,907
38,US-2021-115791-CHO-SCR-58000,2024-01-16,2026-07-11,Second Class,115791,United States,Philadelphia,Pennsylvania,19134,Chocolate,Atlantic,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,10.8,3,7.5,3.3,69.44444444444444,2.5,907
39,US-2021-123477-CHO-NUT-13000,2024-01-18,2026-07-14,Second Class,123477,United States,Springfield,Oregon,97477,Chocolate,Pacific,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,13.96,4,9.96,4.0,71.34670487106017,2.49,908
40,US-2021-146591-CHO-TRI-54000,2024-01-19,2026-07-13,First Class,146591,United States,Scottsdale,Arizona,85254,Chocolate,Pacific,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,18.75,5,12.25,6.5,65.33333333333333,2.45,906
41,US-2021-146591-CHO-FUD-51000,2024-01-19,2026-07-13,First Class,146591,United States,Scottsdale,Arizona,85254,Chocolate,Pacific,CHO-FUD-51000,Wonka Bar - Fudge Mallows,36.0,10,24.0,12.0,66.66666666666666,2.4,906
42,US-2021-146591-CHO-TRI-54000,2024-01-19,2026-07-13,First Class,146591,United States,Scottsdale,Arizona,85254,Chocolate,Pacific,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,18.75,5,12.25,6.5,65.33333333333333,2.45,906
43,US-2021-146591-CHO-FUD-51000,2024-01-19,2026-07-13,First Class,146591,United States,Scottsdale,Arizona,85254,Chocolate,Pacific,CHO-FUD-51000,Wonka Bar - Fudge Mallows,14.4,4,9.6,4.8,66.66666666666666,2.4,906
44,US-2021-147627-CHO-TRI-54000,2024-01-20,2026-07-19,Standard Class,147627,United States,Jonesboro,Arkansas,72401,Chocolate,Gulf,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9,65.33333333333333,2.4499999999999997,911
45,US-2021-167927-CHO-FUD-51000,2024-01-20,2026-07-19,Standard Class,167927,United States,Westland,Michigan,48185,Chocolate,Interior,CHO-FUD-51000,Wonka Bar - Fudge Mallows,10.8,3,7.2,3.6,66.66666666666666,2.4,911
